order_id,book_title,category,store_location,quantity,price_per_unit,payment_method,order_date,total_price
1001,The Alchemist,History,Chiang Mai,5,221.19,Cash,24/5/2024,1105.95
1002,Atomic Habits,Finance,Phuket,5,301.57,Credit Card,9/6/2024,1507.85
1003,Becoming,History,Bangkok,1,152.88,Credit Card,5/6/2024,152.88
1004,Atomic Habits,Self-Help,Bangkok,5,173.21,Cash,20/5/2024,866.05
1005,Atomic Habits,Finance,Khon Kaen,3,159.2,Cash,15/2/2024,477.6
1006,The Midnight Library,Biography,Phuket,4,158.15,Credit Card,4/2/2024,632.6
1007,Becoming,Fiction,Songkhla,1,321.09,QR Code,13/5/2024,321.09
1008,Becoming,History,Phuket,4,290.73,Credit Card,22/3/2024,1162.92
1009,Becoming,Fiction,Khon Kaen,5,244.83,Cash,24/4/2024,1224.15
1010,Atomic Habits,Fiction,Khon Kaen,5,169.57,Credit Card,16/2/2024,847.85
1011,The Alchemist,Finance,Phuket,1,248.32,Cash,1/6/2024,248.32
1012,Becoming,Fiction,Khon Kaen,3,244.69,Credit Card,10/1/2024,734.07
1013,Atomic Habits,Biography,Phuket,2,184.64,QR Code,25/2/2024,369.28
1014,The Midnight Library,Fiction,Chiang Mai,1,236.77,Credit Card,30/1/2024,
1015,The Alchemist,Finance,Phuket,2,229.7,Credit Card,18/4/2024,459.4
1016,The Midnight Library,Biography,Phuket,2,273.17,Cash,5/1/2024,546.34
1017,The Alchemist,Self-Help,Khon Kaen,3,277.02,Cash,28/4/2024,831.06
1018,Atomic Habits,Fiction,Khon Kaen,2,159.06,Cash,2/2/2024,318.12
1019,Educated,Finance,Bangkok,2,224.92,Credit Card,27/4/2024,449.84
1020,The Alchemist,Self-Help,Bangkok,3,275.17,QR Code,5/3/2024,825.51
1021,The Midnight Library,Self-Help,Chiang Mai,2,250.63,Cash,25/5/2024,501.26
1022,Atomic Habits,History,Bangkok,2,321.3,Cash,25/6/2024,642.6
1023,The Alchemist,Biography,Phuket,2,281.74,Credit Card,11/1/2024,563.48
1024,Educated,Fiction,Khon Kaen,1,182.59,Cash,25/3/2024,182.59
1025,Educated,Finance,Bangkok,1,164.11,QR Code,26/1/2024,164.11
1026,Becoming,History,Bangkok,1,278.48,QR Code,3/3/2024,278.48
1027,Becoming,Biography,Chiang Mai,3,155.3,Cash,26/3/2024,465.9
1028,The Midnight Library,History,Chiang Mai,5,267.16,Cash,28/2/2024,1335.8
1029,The Alchemist,Biography,Phuket,2,338.05,Credit Card,27/1/2024,676.1
1030,The Alchemist,Biography,Khon Kaen,2,265.09,QR Code,25/6/2024,530.18
1031,Becoming,Fiction,Chiang Mai,3,227.63,QR Code,9/6/2024,682.89
1032,The Alchemist,Biography,Bangkok,2,278.66,Cash,7/4/2024,557.32
1033,The Alchemist,History,Khon Kaen,1,241.65,Credit Card,14/4/2024,241.65
1034,Educated,Biography,Khon Kaen,5,259.12,QR Code,8/4/2024,1295.6
1035,Becoming,Fiction,Bangkok,4,338.29,QR Code,8/5/2024,1353.16
1036,Atomic Habits,Fiction,Chiang Mai,2,227.22,Credit Card,28/5/2024,454.44
1037,Becoming,History,Bangkok,1,342.24,Credit Card,24/2/2024,342.24
1038,Atomic Habits,Self-Help,Khon Kaen,4,331.07,QR Code,6/1/2024,1324.28
1039,Educated,Self-Help,Songkhla,5,189.16,QR Code,4/4/2024,945.8
1040,The Midnight Library,Biography,Songkhla,4,163.87,Credit Card,12/5/2024,655.48
1041,The Alchemist,Finance,Phuket,1,170.16,QR Code,11/4/2024,170.16
1042,Educated,Biography,Bangkok,,153.64,Cash,3/1/2024,614.56
1043,The Alchemist,History,Bangkok,3,168.89,Cash,29/6/2024,506.67
1044,The Midnight Library,History,Phuket,4,286.6,Credit Card,23/1/2024,1146.4
1045,The Midnight Library,History,Phuket,2,164.24,Credit Card,22/2/2024,328.48
1046,Educated,History,Phuket,2,213.8,Credit Card,13/6/2024,427.6
1047,The Midnight Library,History,Khon Kaen,3,318.98,Cash,23/3/2024,956.94
1048,Atomic Habits,Fiction,Bangkok,1,154.65,QR Code,24/5/2024,154.65
1049,The Midnight Library,Self-Help,Khon Kaen,2,312.89,Cash,25/3/2024,625.78
1050,The Alchemist,History,Phuket,5,206.37,QR Code,18/3/2024,1031.85
1051,The Alchemist,Finance,Bangkok,2,173.63,Cash,19/4/2024,347.26
1052,The Alchemist,Finance,Khon Kaen,2,289.35,QR Code,1/1/2024,578.7
1053,The Alchemist,Finance,Khon Kaen,1,275.79,Cash,20/2/2024,275.79
1054,Atomic Habits,Finance,Phuket,4,325.49,Credit Card,21/6/2024,1301.96
